Q1,Q2,Q3,Q4,Q5,Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q14,Q15,Q16,Q17,CAMPAIGN,Brand_Perception_Before,Brand_Perception_After,Brand_Perception_Total,Purchase_Intention_Before,Purchase_Intention_After,Purchase_Intention_Total,Perceived_Impact_Before,Perceived_Impact_After,Perceived_Impact_Total
1,3,4,2,4,3,3,3,3,3,3,4,2,3,3,1,1.0,3.0,2.3333333333333335,3.0,3.0,3.0,3.25,3.0,3.125
3,4,3,2,5,2,3,1,1,2,3,3,2,2,2,1,3.0,2.0,2.3333333333333335,4.0,1.0,2.5,3.0,2.5,2.75
2,2,3,1,4,2,1,2,4,1,2,1,3,2,2,1,2.0,2.5,2.3333333333333335,2.0,2.0,2.0,2.5,1.75,2.125
2,4,2,2,5,3,4,4,5,4,4,3,4,2,1,1,2.0,4.5,3.6666666666666665,4.0,4.0,4.0,3.0,3.75,3.375
3,4,4,4,5,4,2,4,5,1,4,4,4,1,3,1,3.0,3.5,3.3333333333333335,4.0,4.0,4.0,4.25,3.25,3.75
1,2,2,3,4,3,4,2,2,2,3,3,4,1,3,1,1.0,3.0,2.3333333333333335,2.0,2.0,2.0,3.0,3.0,3.0
4,2,5,5,5,5,4,4,4,1,5,4,4,1,1,1,4.0,4.0,4.0,2.0,4.0,3.0,5.0,3.5,4.25
2,3,3,1,3,3,3,4,5,4,5,3,3,2,2,1,2.0,4.0,3.3333333333333335,3.0,4.0,3.5,2.5,3.75,3.125
2,3,3,2,3,1,3,1,3,3,3,2,3,1,3,1,2.0,3.0,2.6666666666666665,3.0,1.0,2.0,2.25,2.75,2.5
2,3,4,4,2,4,3,3,3,2,2,1,4,1,3,1,2.0,3.0,2.6666666666666665,3.0,3.0,3.0,3.5,2.25,2.875
3,4,4,1,3,4,1,2,2,3,4,3,2,1,4,1,3.0,1.5,2.0,4.0,2.0,3.0,3.0,3.0,3.0
2,1,4,1,2,3,3,3,3,3,3,3,4,1,3,1,2.0,3.0,2.6666666666666665,1.0,3.0,2.0,2.5,3.25,2.875
3,5,4,3,4,4,4,4,4,4,4,4,4,1,2,1,3.0,4.0,3.6666666666666665,5.0,4.0,4.5,3.75,4.0,3.875
2,4,3,3,3,2,3,3,3,3,3,2,3,2,2,1,2.0,3.0,2.6666666666666665,4.0,3.0,3.5,2.75,2.75,2.75
2,4,3,2,3,2,2,3,3,4,1,1,3,1,2,1,2.0,2.5,2.3333333333333335,4.0,3.0,3.5,2.5,2.25,2.375
1,1,2,1,1,1,2,2,3,3,2,1,1,2,2,1,1.0,2.5,2.0,1.0,2.0,1.5,1.25,1.75,1.5
2,3,4,2,3,2,5,1,1,5,1,1,1,1,3,1,2.0,3.0,2.6666666666666665,3.0,1.0,2.0,2.75,2.0,2.375
4,3,4,2,2,3,5,4,3,4,3,3,1,1,2,1,4.0,4.0,4.0,3.0,4.0,3.5,2.75,2.75,2.75
2,2,2,1,2,2,2,1,3,4,2,3,3,1,3,1,2.0,2.5,2.3333333333333335,2.0,1.0,1.5,1.75,3.0,2.375
2,4,3,3,4,3,3,4,4,2,4,3,4,2,2,1,2.0,3.5,3.0,4.0,4.0,4.0,3.25,3.25,3.25
2,4,3,3,4,3,3,4,4,2,3,3,4,2,2,1,2.0,3.5,3.0,4.0,4.0,4.0,3.25,3.0,3.125
5,3,3,2,2,2,2,4,2,2,3,3,4,1,2,1,5.0,2.0,3.0,3.0,4.0,3.5,2.25,3.0,2.625
2,4,3,3,4,3,4,4,4,2,3,3,4,2,2,1,2.0,4.0,3.3333333333333335,4.0,4.0,4.0,3.25,3.0,3.125
2,4,3,3,4,3,3,4,4,2,3,3,4,2,2,1,2.0,3.5,3.0,4.0,4.0,4.0,3.25,3.0,3.125
2,4,2,3,3,3,3,3,4,2,3,2,3,2,2,1,2.0,3.5,3.0,4.0,3.0,3.5,2.75,2.5,2.625
2,3,4,4,4,2,4,5,5,2,4,3,5,1,2,1,2.0,4.5,3.6666666666666665,3.0,5.0,4.0,3.5,3.5,3.5
4,3,2,4,4,4,2,4,2,2,4,3,1,1,2,1,4.0,2.0,2.6666666666666665,3.0,4.0,3.5,3.5,2.5,3.0
2,3,4,5,5,1,4,4,5,3,4,4,3,1,1,1,2.0,4.5,3.6666666666666665,3.0,4.0,3.5,3.75,3.5,3.625
1,5,3,3,4,3,3,4,4,1,3,4,4,2,2,1,1.0,3.5,2.6666666666666665,5.0,4.0,4.5,3.25,3.0,3.125
3,4,4,3,4,3,3,4,4,2,3,3,4,2,2,1,3.0,3.5,3.3333333333333335,4.0,4.0,4.0,3.5,3.0,3.25
1,4,3,2,4,3,4,4,5,1,4,3,4,2,2,1,1.0,4.5,3.3333333333333335,4.0,4.0,4.0,3.0,3.0,3.0
